timestamp,price,short_ma,long_ma,signal,portfolio_value,daily_return
2025-10-20 10:27:49.468989+09:00,108180.00,,,HOLD,1000000.00,
2025-10-20 10:28:49.802686+09:00,108185.99,,,HOLD,1000000.00,0.000000
2025-10-20 10:29:50.149365+09:00,108096.26,,,HOLD,1000000.00,0.000000
2025-10-20 10:30:50.485615+09:00,108154.74,,,HOLD,1000000.00,0.000000
2025-10-20 10:31:50.821340+09:00,108166.51,,,HOLD,1000000.00,0.000000
2025-10-20 10:32:51.155330+09:00,108108.33,,,HOLD,1000000.00,0.000000
2025-10-20 10:33:51.490932+09:00,108015.92,,,HOLD,1000000.00,0.000000
2025-10-20 10:34:51.822196+09:00,108000.84,,,HOLD,1000000.00,0.000000
2025-10-20 10:35:52.156787+09:00,108032.68,,,HOLD,1000000.00,0.000000
2025-10-20 10:36:52.490539+09:00,108070.16,,,HOLD,1000000.00,0.000000
2025-10-20 10:37:52.826921+09:00,107989.02,,,HOLD,1000000.00,0.000000
2025-10-20 10:38:53.164714+09:00,108020.64,,,HOLD,1000000.00,0.000000
2025-10-20 10:39:53.509057+09:00,107974.73,,,HOLD,1000000.00,0.000000
2025-10-20 10:40:53.846034+09:00,107984.27,,,HOLD,1000000.00,0.000000
2025-10-20 10:41:54.179800+09:00,108030.49,,,HOLD,1000000.00,0.000000
2025-10-20 10:42:54.510647+09:00,108088.79,,,HOLD,1000000.00,0.000000
2025-10-20 10:43:54.849544+09:00,108118.24,,,HOLD,1000000.00,0.000000
2025-10-20 10:44:55.179314+09:00,108079.83,,,HOLD,1000000.00,0.000000
2025-10-20 10:45:55.520024+09:00,108079.90,,,HOLD,1000000.00,0.000000
2025-10-20 10:46:55.866708+09:00,108076.47,,,HOLD,1000000.00,0.000000
2025-10-20 10:47:56.205535+09:00,108065.00,,,HOLD,1000000.00,0.000000
2025-10-20 10:48:56.557516+09:00,108108.04,,,HOLD,1000000.00,0.000000
2025-10-20 10:49:56.877196+09:00,108125.52,,,HOLD,1000000.00,0.000000
2025-10-20 10:50:57.210998+09:00,108178.01,,,HOLD,1000000.00,0.000000
2025-10-20 10:51:57.550868+09:00,108138.00,,,HOLD,1000000.00,0.000000
2025-10-20 10:52:57.868858+09:00,108091.35,,,HOLD,1000000.00,0.000000
2025-10-20 10:53:58.173654+09:00,108086.54,,,HOLD,1000000.00,0.000000
2025-10-20 10:54:58.479807+09:00,108143.99,,,HOLD,1000000.00,0.000000
2025-10-20 10:55:58.820262+09:00,108139.55,,,HOLD,1000000.00,0.000000
2025-10-20 10:56:59.154013+09:00,108112.11,,,HOLD,1000000.00,0.000000
2025-10-20 10:57:59.457325+09:00,108129.02,,,HOLD,1000000.00,0.000000
2025-10-20 10:58:59.766699+09:00,108055.37,,,HOLD,1000000.00,0.000000
2025-10-20 11:00:00.070756+09:00,108053.58,,,HOLD,1000000.00,0.000000
2025-10-20 11:01:00.372350+09:00,107975.01,,,HOLD,1000000.00,0.000000
2025-10-20 11:02:00.710284+09:00,107941.45,,,HOLD,1000000.00,0.000000
2025-10-20 11:03:01.053658+09:00,107901.10,,,HOLD,1000000.00,0.000000
2025-10-20 11:04:01.388267+09:00,107990.13,,,HOLD,1000000.00,0.000000
2025-10-20 11:05:01.719444+09:00,107967.15,,,HOLD,1000000.00,0.000000
2025-10-20 11:06:02.057427+09:00,107917.64,,,HOLD,1000000.00,0.000000
2025-10-20 11:07:02.396254+09:00,107969.58,,,HOLD,1000000.00,0.000000
2025-10-20 11:08:02.730276+09:00,107893.30,,,HOLD,1000000.00,0.000000
2025-10-20 11:09:03.067352+09:00,107905.97,,,HOLD,1000000.00,0.000000
2025-10-20 11:10:03.377698+09:00,107895.41,,,HOLD,1000000.00,0.000000
2025-10-20 11:11:03.687287+09:00,107911.03,,,HOLD,1000000.00,0.000000
2025-10-20 11:12:03.999464+09:00,107861.11,,,HOLD,1000000.00,0.000000
2025-10-20 11:13:04.304912+09:00,107984.56,,,HOLD,1000000.00,0.000000
2025-10-20 11:14:04.614977+09:00,108050.00,,,HOLD,1000000.00,0.000000
2025-10-20 11:15:04.923352+09:00,108009.21,,,HOLD,1000000.00,0.000000
2025-10-20 11:16:05.231032+09:00,108079.99,,,HOLD,1000000.00,0.000000
2025-10-20 11:17:05.526754+09:00,108276.05,108048.17,,HOLD,1000000.00,0.000000
2025-10-20 11:18:05.827100+09:00,108404.01,108052.65,,HOLD,1000000.00,0.000000
2025-10-20 11:19:06.138236+09:00,108396.76,108056.87,,HOLD,1000000.00,0.000000
2025-10-20 11:20:06.449173+09:00,108319.76,108061.34,,HOLD,1000000.00,0.000000
2025-10-20 11:21:06.757944+09:00,108439.47,108067.03,,HOLD,1000000.00,0.000000
2025-10-20 11:22:07.065467+09:00,108403.45,108071.77,,HOLD,1000000.00,0.000000
2025-10-20 11:23:07.377290+09:00,108474.43,108079.09,,HOLD,1000000.00,0.000000
2025-10-20 11:24:07.687558+09:00,108510.50,108088.98,,HOLD,1000000.00,0.000000
2025-10-20 11:25:07.997425+09:00,108445.83,108097.88,,HOLD,1000000.00,0.000000
2025-10-20 11:26:08.286762+09:00,108400.00,108105.23,,HOLD,1000000.00,0.000000
2025-10-20 11:27:08.576440+09:00,108374.93,108111.33,,HOLD,1000000.00,0.000000
2025-10-20 11:28:08.890215+09:00,108397.15,108119.49,,HOLD,1000000.00,0.000000
2025-10-20 11:29:09.193993+09:00,108397.15,108127.02,,HOLD,1000000.00,0.000000
2025-10-20 11:30:09.509904+09:00,108417.98,108135.88,,HOLD,1000000.00,0.000000
2025-10-20 11:31:09.821264+09:00,108373.51,108143.67,,HOLD,1000000.00,0.000000
2025-10-20 11:32:10.129136+09:00,108303.94,108149.14,,HOLD,1000000.00,0.000000
2025-10-20 11:33:10.437870+09:00,108362.11,108154.60,,HOLD,1000000.00,0.000000
2025-10-20 11:34:10.742681+09:00,108361.50,108159.47,,HOLD,1000000.00,0.000000
2025-10-20 11:35:11.044858+09:00,108476.83,108167.41,,HOLD,1000000.00,0.000000
2025-10-20 11:36:11.356390+09:00,108679.87,108179.41,,HOLD,1000000.00,0.000000
2025-10-20 11:37:11.667790+09:00,108638.84,108190.66,,HOLD,1000000.00,0.000000
2025-10-20 11:38:11.963420+09:00,108676.08,108202.88,,HOLD,1000000.00,0.000000
2025-10-20 11:39:12.271198+09:00,108745.91,108215.63,,HOLD,1000000.00,0.000000
2025-10-20 11:40:12.579956+09:00,108788.50,108228.89,,HOLD,1000000.00,0.000000
2025-10-20 11:41:12.889478+09:00,108721.65,108239.77,,HOLD,1000000.00,0.000000
2025-10-20 11:42:13.202777+09:00,108731.05,108251.63,,HOLD,1000000.00,0.000000
2025-10-20 11:43:13.511966+09:00,108739.81,108264.60,,HOLD,1000000.00,0.000000
2025-10-20 11:44:13.818766+09:00,108763.24,108278.13,,HOLD,1000000.00,0.000000
2025-10-20 11:45:14.129004+09:00,108747.06,108290.19,,HOLD,1000000.00,0.000000
2025-10-20 11:46:14.439921+09:00,108827.77,108303.96,,HOLD,1000000.00,0.000000
2025-10-20 11:47:14.749496+09:00,108815.66,108318.03,,HOLD,1000000.00,0.000000
2025-10-20 11:48:15.099487+09:00,108764.63,108330.74,,HOLD,1000000.00,0.000000
2025-10-20 11:49:15.407032+09:00,108706.50,108343.76,,HOLD,1000000.00,0.000000
2025-10-20 11:50:15.714254+09:00,108842.99,108359.55,,HOLD,1000000.00,0.000000
2025-10-20 11:51:16.026237+09:00,108881.62,108377.68,,HOLD,1000000.00,0.000000
2025-10-20 11:52:16.336543+09:00,108795.45,108394.76,,HOLD,1000000.00,0.000000
2025-10-20 11:53:16.648343+09:00,108760.00,108411.94,,HOLD,1000000.00,0.000000
2025-10-20 11:54:16.956839+09:00,108806.42,108428.27,,HOLD,1000000.00,0.000000
2025-10-20 11:55:17.265986+09:00,108738.29,108443.69,,HOLD,1000000.00,0.000000
2025-10-20 11:56:17.577229+09:00,108736.00,108460.06,,HOLD,1000000.00,0.000000
2025-10-20 11:57:17.888535+09:00,108753.31,108475.73,,HOLD,1000000.00,0.000000
2025-10-20 11:58:18.198451+09:00,108797.81,108493.82,,HOLD,1000000.00,0.000000
2025-10-20 11:59:18.505462+09:00,108764.50,108510.99,,HOLD,1000000.00,0.000000
2025-10-20 12:00:18.813768+09:00,108755.00,108528.18,,HOLD,1000000.00,0.000000
2025-10-20 12:01:19.124090+09:00,108744.31,108544.85,,HOLD,1000000.00,0.000000
2025-10-20 12:02:19.429565+09:00,108730.60,108562.24,,HOLD,1000000.00,0.000000
2025-10-20 12:03:19.739883+09:00,108706.03,108576.67,,HOLD,1000000.00,0.000000
